"id","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
160,"Jugnu","Jugnu",74,230400,FALSE,0.716,0.803,10,-5.14,0,0.0445,0.03,0,0.0817,0.325,124.961,4,"pop"
161,"Baarish Lete Aana","Baarish Lete Aana",65,213500,FALSE,0.537,0.35,2,-8.937,1,0.0248,0.838,0,0.108,0.318,67.018,4,"pop"
162,"BORN PINK","Hard to Love",80,162569,TRUE,0.647,0.723,5,-6.214,1,0.0491,0.00503,0,0.176,0.443,105.001,4,"pop"
163,"Frescura y Perreo","De Tanto Chimbiar",2,186066,FALSE,0.821,0.602,9,-6.628,1,0.168,0.108,0,0.246,0.628,90.035,4,"pop"
164,"Autopilot","Blinding Lights",3,201573,FALSE,0.512,0.796,1,-4.075,1,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4,"pop"
165,"Cool Covers - Smooth Jazz Plays The Hits!","Love Will Follow",45,380866,FALSE,0.683,0.6,7,-10.334,1,0.0324,0.58,0.452,0.0815,0.791,99.135,4,"jazz"
166,"The Greatest Jazz Mix","Look To The Sky",0,137933,FALSE,0.499,0.215,11,-17.369,0,0.031,0.898,0.913,0.0989,0.74,132.383,4,"jazz"
167,"JULMYS","It's Christmas",0,194706,FALSE,0.598,0.447,8,-7.932,1,0.0404,0.224,0,0.0704,0.365,123.855,4,"jazz"
168,"On air 70's Hits","Surfin' U.S.A. - Remastered 2001",1,148973,FALSE,0.546,0.878,3,-4.526,1,0.0377,0.677,0,0.127,0.964,159.105,4,"rock"
169,"In A Space Outta Sound","You Wish",65,210466,FALSE,0.774,0.244,9,-9.748,0,0.0299,0.72,0.915,0.379,0.421,103.464,4,"jazz"
170,"Best Christmas Songs 2022","It's Christmas",0,194706,FALSE,0.598,0.447,8,-7.932,1,0.0404,0.224,0,0.0704,0.365,123.855,4,"jazz"
171,"Classic Christmas 2022","Joy To The World - Remastered 1999",0,84986,FALSE,0.553,0.337,10,-10.334,1,0.0303,0.818,0,0.113,0.664,102.213,4,"jazz"
172,"No Competition","No Competition",67,205500,FALSE,0.868,0.635,10,-6.352,0,0.227,0.164,0,0.0898,0.621,90.019,4,"pop"
173,"pov: you ride on santa's sleigh","Baby, It's Cold Outside - Remastered 2004",0,143026,FALSE,0.499,0.304,0,-11.543,1,0.0632,0.81,0,0.0546,0.521,129.321,4,"jazz"
174,"World's Best Christmas Playlist","Christmas Without You",0,197146,FALSE,0.262,0.677,7,-5.645,1,0.0528,0.447,0,0.205,0.365,207.478,3,"rock"
175,"Retro Baladas","Es Por Ti",0,251120,FALSE,0.694,0.761,4,-6.066,1,0.0263,0.176,3.63e-05,0.123,0.866,129.953,4,"rock"
176,"Alternative Christmas 2022","Happy Holidays, You Bastard",0,42440,TRUE,0.409,0.99,11,-2.084,1,0.115,0.02,0,0.513,0.962,172.715,4,"rock"
177,"Holiday Anthems 2022","Rudolph The Red-Nosed Reindeer",1,171773,FALSE,0.596,0.315,8,-9.175,1,0.0428,0.961,0,0.258,0.64,119.935,4,"jazz"
178,"Indru Netru Naalai (Original Motion Picture Soundtrack)","Kadhale Kadhale",65,207071,FALSE,0.528,0.739,0,-6.32,0,0.0314,0.687,5.17e-05,0.168,0.542,128.1,4,"pop"
179,"Moosetape","These Days (feat. Bohemia)",70,209230,FALSE,0.73,0.748,6,-4.371,0,0.152,0.0936,0,0.282,0.694,155.861,4,"pop"
180,"This Is Why - This Is Rock","Blinding Lights",0,193151,FALSE,0.449,0.886,8,-2.501,1,0.0624,0.00248,7.48e-05,0.0743,0.61,171.016,4,"rock"
181,"Careless Love","Don't Cry Baby",39,198346,FALSE,0.623,0.353,7,-10.339,1,0.0317,0.889,0.012,0.109,0.236,105.908,4,"jazz"
182,"Halloween Scary Party","Beast Of Burden - Remastered 1994",0,265173,FALSE,0.784,0.879,1,-3.862,0,0.0308,0.39,0.000848,0.0426,0.893,100.622,4,"rock"
183,"pov: you have a holly jolly christmas","Frosty The Snowman",0,131733,FALSE,0.579,0.502,8,-7.57,1,0.0513,0.733,0,0.281,0.836,76.783,4,"jazz"
184,"Retro Baladas","A Que No Me Dejas",0,321323,FALSE,0.597,0.665,7,-4.403,1,0.129,0.424,0,0.115,0.443,94.467,4,"rock"
185,"Marakkuma Nenjam (From ""Vendhu Thanindhathu Kaadu"")","Marakkuma Nenjam - From ""Vendhu Thanindhathu Kaadu""",68,258319,FALSE,0.662,0.394,2,-14.407,1,0.0361,0.789,0.124,0.111,0.326,119.938,4,"pop"
186,"Best 70s Rock Tunes","Midnite Cruiser",0,246600,FALSE,0.64,0.644,1,-10.273,1,0.0283,0.273,0,0.0449,0.722,99.197,4,"rock"
187,"Home For Christmas 2022","Merry Christmas, Baby - 1991 Remix",0,146093,FALSE,0.695,0.494,9,-11.419,1,0.058,0.31,0,0.0888,0.816,127.382,4,"rock"
188,"Weihnachten Musik","Hang Your Lights",0,296680,FALSE,0.346,0.605,3,-7.059,0,0.0794,0.188,0,0.241,0.747,202.175,4,"jazz"
189,"Christmas Classics","The Christmas Waltz",1,173106,FALSE,0.25,0.168,1,-16.789,0,0.0329,0.822,0.000135,0.136,0.141,107.269,3,"jazz"
190,"Desayuno en calma","Black Coffee - Single Version",0,186693,FALSE,0.523,0.194,8,-10.63,1,0.0433,0.84,9e-06,0.169,0.171,129.533,4,"jazz"
191,"Mujhe Peene Do","Mujhe Peene Do",65,196071,FALSE,0.268,0.334,3,-8.877,0,0.0332,0.759,0,0.117,0.175,55.832,4,"pop"
192,"Best Christmas Songs 2022","Let It Snow! Let It Snow! Let It Snow!",0,121026,FALSE,0.462,0.209,1,-15.251,1,0.0323,0.9,0,0.0514,0.765,133.988,4,"jazz"
193,"Rock & Halloween","Detroit Rock City - Edit",1,215527,FALSE,0.521,0.954,5,-3.556,1,0.0909,0.0295,5.02e-05,0.25,0.45,90.545,4,"rock"
194,"Arbeitsmusik Herbst/Winter 2022/2023","Sunshine",0,163854,FALSE,0.697,0.875,5,-4.621,1,0.034,0.137,0,0.28,0.774,140.069,4,"rock"
195,"Ultimate Calm Christmas Jazz","Santa Cruzin'",0,414613,FALSE,0.688,0.639,5,-10.068,1,0.0425,0.47,0.655,0.117,0.602,99.645,4,"jazz"
196,"Naane Varuvean","Rendu Raaja",36,202718,FALSE,0.607,0.695,0,-9.537,1,0.0567,0.163,4.26e-06,0.109,0.594,150.061,4,"pop"
197,"Holly Jolly Christmas","Christmas Lights",2,242495,FALSE,0.315,0.418,7,-9.146,1,0.0299,0.131,0.000679,0.0836,0.237,129.116,4,"pop"
198,"Beste Weihnachtslieder","Merry Christmas",0,151387,FALSE,0.683,0.511,6,-5.598,1,0.0279,0.406,0.000197,0.111,0.598,109.991,3,"rock"
199,"Rock Brandneu","Records",0,208920,FALSE,0.658,0.773,11,-5.119,1,0.0244,0.000901,0,0.194,0.66,100.006,4,"rock"
200,"World's Best Christmas Playlist","God Only Knows - Mono / 1997 Remastered",0,173040,FALSE,0.524,0.487,6,-7.525,0,0.0299,0.253,0,0.0579,0.482,117.108,4,"rock"
201,"Naacho Naacho (From ""Rrr"")","Naacho Naacho (From ""Rrr"")",68,214207,FALSE,0.438,0.986,10,-3.384,0,0.14,0.35,0.000343,0.0773,0.736,159.894,4,"pop"
202,"Pop Hits Now","Love's Train",0,307014,FALSE,0.71,0.625,6,-9.008,0,0.0295,0.029,1.1e-05,0.108,0.784,140.994,4,"pop"
203,"Raanjhana Ve","Raanjhana Ve",64,283195,FALSE,0.628,0.834,4,-4.56,1,0.116,0.575,0,0.158,0.747,78.207,4,"pop"
204,"Christmas Music - Holiday Hits","It's Beginning to Look a Lot Like Christmas",0,206346,FALSE,0.335,0.232,4,-11.042,1,0.0334,0.908,8.89e-06,0.292,0.381,93.391,3,"jazz"
205,"Jazz Romance","You Go To My Head",0,174866,FALSE,0.55,0.0973,8,-16.264,1,0.0468,0.986,0.000104,0.155,0.212,67.561,4,"jazz"
206,"Pumpkin Patch Hits","I Put A Spell On You",0,156266,FALSE,0.429,0.477,6,-6.225,0,0.0311,0.766,0.000638,0.16,0.327,88.534,3,"jazz"
207,"Almorzando solo","All Around The World",0,244826,FALSE,0.694,0.816,3,-3.949,0,0.191,0.0217,2.92e-06,0.167,0.798,128.009,4,"pop"
208,"Autumn Vibes 2022","Run",0,169010,FALSE,0.682,0.72,11,-8.173,0,0.0381,0.326,0,0.148,0.673,117.003,4,"rock"
209,"Spooky Scary Season","Behind My Camel - Remastered 2003",0,173600,FALSE,0.509,0.326,0,-9.59,0,0.0254,0.0618,0.805,0.293,0.229,86.829,4,"rock"
210,"Calm Christmas","The Secret Of Christmas",0,168146,FALSE,0.258,0.175,0,-11.903,1,0.0323,0.939,0.000156,0.136,0.107,89.072,3,"jazz"
211,"Running Songs","If You Really Love Me (How Will I Know)",2,184390,FALSE,0.692,0.883,7,-4.698,1,0.0582,0.0512,0,0.228,0.614,122.984,4,"pop"
212,"70s Christmas Party","Sweet Home Alabama",0,285373,FALSE,0.614,0.724,7,-7.521,1,0.0247,0.217,0.000256,0.146,0.902,97.863,4,"rock"
213,"Voices","Black Out Days",77,227160,FALSE,0.542,0.795,4,-3.63,0,0.0368,0.00506,0.019,0.0851,0.431,92.234,4,"rock"
214,"Feliz Cumpleaños con Perreo","Normal",3,171880,TRUE,0.709,0.56,4,-4.867,0,0.171,0.034,0,0.315,0.541,170.082,4,"pop"
215,"The Very Best Christmas Songs 2022","Sleigh Ride",0,175986,FALSE,0.593,0.287,1,-12.472,1,0.0469,0.764,0,0.153,0.639,77.117,4,"jazz"
216,"Halloween & Alternative","bury a friend",3,193143,FALSE,0.887,0.388,8,-14.505,1,0.349,0.739,0.143,0.106,0.205,120.035,4,"pop"
217,"US Pop 20s","Love's Train",1,307014,FALSE,0.71,0.625,6,-9.008,0,0.0295,0.029,1.1e-05,0.108,0.784,140.994,4,"pop"
218,"Feeling Good - Adult Pop Favorites","Feeling Good",1,237333,FALSE,0.535,0.547,1,-6.51,1,0.037,0.533,1.49e-06,0.123,0.477,115.146,3,"jazz"
219,"Aafat (Remix By DJ Aqeel) [brah]","Aafat (From ""Liger"") - Remix By DJ Aqeel",45,189790,FALSE,0.738,0.892,11,-5.366,0,0.0538,0.00114,0.0648,0.0586,0.683,127.974,4,"pop"
220,"Halloween Spooky Party 2022","Symphony Of Destruction",0,246733,FALSE,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,"rock"
221,"Pop Christmas 2022","The Lighthouse Keeper",0,247493,FALSE,0.394,0.17,0,-10.368,1,0.0451,0.889,0,0.105,0.315,130.721,3,"pop"
222,"L-O-V-E","L-O-V-E",71,155306,FALSE,0.425,0.373,4,-7.543,1,0.0801,0.686,0,0.077,0.663,78.231,4,"jazz"
223,"Najaa (From ""Sooryavanshi"")","Najaa (From ""Sooryavanshi"")",70,191239,FALSE,0.786,0.727,9,-5.028,0,0.051,0.0818,0,0.0824,0.697,93.97,4,"pop"
224,"Yaanji (From ""Vikram Vedha"")","Yaanji - From ""Vikram Vedha""",67,270375,FALSE,0.692,0.624,9,-6.492,0,0.0337,0.368,0,0.108,0.487,132.896,4,"pop"
225,"Weihnachten Playlist","It's Christmas",0,180626,FALSE,0.534,0.533,5,-6.161,0,0.047,0.5,0,0.0875,0.478,136.854,4,"jazz"
226,"Toto IV","Africa",83,295893,FALSE,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4,"rock"
227,"The Complete Aladdin Recordings Of Lester Young","These Foolish Things - Remastered 1995",55,190933,FALSE,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,4,"jazz"
228,"Exitos De Billo's Caracas Boys","Mi Cali Bella",38,187959,FALSE,0.454,0.621,3,-6.782,0,0.0816,0.49,1.15e-05,0.131,0.877,195.995,4,"jazz"
229,"Happy Haunted Halloween Tunes","Season Of The Witch - From The Motion Picture ""Scary Stories To Tell In The Dark""",4,247147,FALSE,0.674,0.205,2,-14.173,1,0.0403,0.895,0.0275,0.114,0.352,95.987,4,"pop"
230,"Yan Yana Fotoğraf Çektirelim","Beyoğlu",39,222320,FALSE,0.661,0.764,5,-6.572,0,0.0357,0.0613,0,0.261,0.637,114.949,4,"jazz"
231,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Malang (Title Track) [From ""Malang - Unleash The Madness""]",66,287374,FALSE,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,4,"pop"
232,"Evolve","Whatever It Takes",81,201240,FALSE,0.672,0.655,10,-5.021,0,0.0311,0.0362,0,0.117,0.556,134.945,4,"rock"
233,"Classic Christmas 2022","Luna Mezzo Mare - 2001 Remastered",0,128226,FALSE,0.717,0.283,2,-8.335,1,0.0778,0.798,0,0.293,0.935,120.794,4,"jazz"
234,"Fishing Music","I Won't Back Down",1,175373,FALSE,0.765,0.63,7,-9.751,1,0.0304,0.0467,3.06e-05,0.223,0.963,113.967,4,"rock"
235,"Pumpkin Patch Hits","Sympathy For The Devil",0,377746,FALSE,0.636,0.67,9,-10.958,1,0.257,0.582,0,0.0453,0.572,115.577,4,"rock"
236,"pov: it's 2021","Ghost",2,153190,FALSE,0.604,0.741,2,-5.571,1,0.0475,0.178,3.49e-05,0.409,0.473,153.947,4,"pop"
237,"Suluşaka","Gidin",41,195533,FALSE,0.698,0.532,4,-8.513,1,0.032,0.226,0.00425,0.0684,0.394,105.909,4,"jazz"
238,"Halloween Party 2022","I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",0,210520,FALSE,0.563,0.383,2,-7.544,0,0.0322,0.283,2.59e-06,0.127,0.358,173.98,3,"rock"
239,"pov: you hear the bells jingle","It's Christmas",0,194706,FALSE,0.598,0.447,8,-7.932,1,0.0404,0.224,0,0.0704,0.365,123.855,4,"jazz"
240,"Frescura y Perreo","Quemando Calorías",2,182506,FALSE,0.678,0.698,7,-4.57,1,0.0587,0.00214,4.94e-06,0.0945,0.812,192.005,4,"pop"
241,"10's Music Grandi Successi","Pompeii",1,216760,FALSE,0.68,0.711,9,-6.371,1,0.0414,0.0918,0,0.241,0.571,127.436,4,"rock"
242,"Breathless","Forever in Love",55,299493,FALSE,0.343,0.318,5,-14.901,1,0.0312,0.336,0.158,0.17,0.11,81.993,4,"jazz"
243,"Rock Christmas 2022 - The Very Best Of","Sleigh Ride",0,175986,FALSE,0.593,0.287,1,-12.472,1,0.0469,0.764,0,0.153,0.639,77.117,4,"jazz"
244,"Christmas Vibes But Not Christmas Songs","I'll Be Seeing You",0,210733,FALSE,0.302,0.0455,8,-15.532,1,0.0414,0.987,0.000605,0.229,0.122,73.146,5,"jazz"
245,"Desayuno en calma","I'm In The Mood For Love",0,149826,FALSE,0.58,0.0545,9,-14.594,0,0.0473,0.963,0.000265,0.0967,0.177,123.341,4,"jazz"
246,"christmas but not christmas songs","Ain't That A Kick In The Head",0,147293,FALSE,0.647,0.252,6,-11.93,0,0.0557,0.6,0,0.3,0.72,131.793,4,"jazz"
247,"The Calm Place","The Calm Place",59,156000,FALSE,0.687,0.201,7,-9.523,0,0.301,0.619,0.917,0.0896,0.32,158.7,4,"jazz"
248,"÷ (Deluxe)","Shape of You",86,233712,FALSE,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4,"pop"
249,"Love Forever With Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",72,341054,FALSE,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,4,"pop"
250,"World's Best Christmas Playlist","All I Want For Christmas (Is My Two Front Teeth)",0,151333,FALSE,0.771,0.158,6,-10.374,0,0.0621,0.895,0,0.144,0.504,130.072,4,"jazz"
251,"Outlaw","Outlaw",68,179375,FALSE,0.727,0.672,1,-4.782,0,0.0426,0.181,0,0.189,0.135,94.006,4,"pop"
252,"Running Songs","Infinity - PRETTY YOUNG Remix",0,210500,FALSE,0.543,0.595,11,-8.61,0,0.0477,0.0432,0.000247,0.101,0.338,122.052,4,"rock"
253,"Slow Christmas Songs 2022","Christmas Without You",0,197146,FALSE,0.262,0.677,7,-5.645,1,0.0528,0.447,0,0.205,0.365,207.478,3,"rock"
254,"Mellow Adult Pop","Bella Luna",1,302346,FALSE,0.755,0.454,9,-9.609,0,0.0352,0.757,0,0.236,0.33,120.06,4,"rock"
255,"Fiesta temática 70s","Do It Again",1,354933,FALSE,0.695,0.583,2,-8.265,0,0.0303,0.157,7.61e-05,0.0576,0.96,124.61,4,"rock"
256,"Los Clásicos del Pop 90s","It Ain't Over 'Til It's Over",1,242640,FALSE,0.66,0.752,6,-5.839,1,0.0487,0.251,0.00398,0.322,0.934,159.684,4,"rock"
257,"Sabah Şarkıları / Orta Şeker","Benimle Evlensen",37,254293,FALSE,0.609,0.428,4,-11.821,1,0.0509,0.754,1.04e-05,0.108,0.521,76.867,4,"jazz"
258,"Reggaeton Mix Perreito","Normal",2,171880,TRUE,0.709,0.56,4,-4.867,0,0.171,0.034,0,0.315,0.541,170.082,4,"pop"
259,"Christmas Rock 2022","Little Saint Nick - 1991 Remix",0,118840,FALSE,0.602,0.553,11,-9.336,1,0.0328,0.108,0,0.0512,0.971,130.594,4,"rock"
260,"Arbeitsmusik Herbst/Winter 2022/2023","Enemy - from the series Arcane League of Legends",0,173381,FALSE,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4,"rock"
261,"Best Christmas Music 2022","Little Saint Nick - 1991 Remix",0,118840,FALSE,0.602,0.553,11,-9.336,1,0.0328,0.108,0,0.0512,0.971,130.594,4,"rock"
262,"Die For You","Time After Time - Live At Abbey Road Studios",1,232128,FALSE,0.595,0.459,11,-9.413,1,0.0461,0.571,0.000165,0.101,0.272,129.661,4,"pop"
263,"ATLAS","Legend",71,189120,FALSE,0.601,0.757,2,-3.341,1,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,4,"rock"
264,"Pasalapoodi Veerababu (Original Motion Picture Soundtrack)","Aakasam Adhiri Pada",43,248450,FALSE,0.742,0.692,4,-9.267,0,0.237,0.464,1.39e-05,0.0951,0.628,149.949,4,"pop"
265,"Tailgate Country","Dirt On My Boots",0,201893,FALSE,0.683,0.796,11,-4.179,1,0.0284,0.112,0,0.197,0.533,90.031,4,"rock"
266,"CHRISTMAS TOP HITS 2022","Baby, It's Cold Outside - Remastered 2004",0,143026,FALSE,0.499,0.304,0,-11.543,1,0.0632,0.81,0,0.0546,0.521,129.321,4,"jazz"
267,"Moosetape","295",78,270000,FALSE,0.557,0.794,11,-5.698,0,0.2,0.179,0,0.106,0.432,91.366,4,"pop"
268,"All Out Alternative","Song 2 - 2012 Remaster",0,121160,FALSE,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4,"rock"
269,"Beste Weihnachtslieder","Let It Snow, Let It Snow, Let It Snow - Remastered",0,121026,FALSE,0.446,0.214,1,-15.215,1,0.0326,0.885,1.46e-06,0.052,0.741,133.436,4,"jazz"
270,"Best Alternative Pop Tunes","Life On Mars? - Live At A Bowie Celebration 2021",1,231207,FALSE,0.478,0.536,10,-7.915,1,0.0319,0.631,0.000102,0.145,0.256,116.826,4,"rock"
271,"Happy Pop Vibes","Local God",0,180797,FALSE,0.379,0.849,0,-5.747,1,0.0747,3.44e-05,0.00224,0.298,0.584,146.841,4,"rock"
272,"Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster)","My Foolish Heart",60,297320,FALSE,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,4,"jazz"
273,"Tulus","Merdu Untukmu - Outro",38,62093,FALSE,0.629,0.124,9,-22.22,1,0.0366,0.812,4.83e-06,0.102,0.796,85.258,4,"jazz"
274,"This Is Why - This Is Rock","Let Me Let You Go",0,180211,FALSE,0.533,0.831,5,-3.696,1,0.0609,0.00804,0,0.0975,0.741,96.091,4,"rock"
275,"Home For Christmas 2022","Jingle Bells",0,143093,FALSE,0.699,0.726,7,-5.364,1,0.0726,0.575,0,0.655,0.877,119.185,4,"jazz"
276,"True Genius","Hit the Road Jack",70,119880,FALSE,0.598,0.571,8,-12.616,0,0.139,0.704,0,0.513,0.962,173.141,4,"jazz"
277,"Equals Sessions (Season 1)","Nasha (Equals Sessions)",53,287573,FALSE,0.78,0.46,6,-7.516,1,0.0851,0.455,0.000141,0.061,0.788,124.007,4,"rock"
278,"The Car","I Ain’t Quite Where I Think I Am",42,191173,FALSE,0.544,0.337,10,-9.846,1,0.0653,0.357,6.34e-05,0.085,0.667,192.685,4,"rock"
279,"LEO-NiNE","紅蓮華",74,237586,FALSE,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,4,"rock"
280,"The Very Best Christmas Songs 2022","What Are You Doing New Year's Eve?",0,221826,FALSE,0.362,0.265,8,-10.084,1,0.0355,0.94,0,0.107,0.224,76.404,4,"rock"
281,"The Final Countdown (Expanded Edition)","The Final Countdown",78,310333,FALSE,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,4,"rock"
282,"Kyun Dhunde","Kyun Dhunde",66,70434,FALSE,0.711,0.346,7,-10.162,1,0.0291,0.766,0,0.212,0.771,91.993,4,"pop"
283,"Mellow Adult Pop","Postcards",3,286973,FALSE,0.723,0.617,11,-8.312,1,0.0301,0.566,0,0.252,0.677,100.015,4,"rock"
284,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",72,200991,FALSE,0.718,0.382,7,-8.237,1,0.0466,0.585,0,0.128,0.499,87.029,4,"pop"
285,"The Days / Nights","The Nights",86,176658,FALSE,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4,"pop"
286,"The Razors Edge","Thunderstruck",84,292880,FALSE,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4,"rock"
287,"Khiladi 786","Hookah Bar",67,254351,FALSE,0.73,0.656,11,-5.07,1,0.0294,0.00797,0.00271,0.108,0.743,131.04,4,"pop"
288,"Temporary pyar","Temporary pyar",65,245016,FALSE,0.531,0.79,10,-7.213,1,0.234,0.281,0,0.301,0.339,79.942,4,"pop"
289,"Magazines Or Novels","Honey, I'm Good.",48,199263,FALSE,0.754,0.802,9,-6.424,1,0.0551,0.0349,0,0.335,0.583,122.026,4,"rock"
290,"Rockin' Around The Christmas Tree 2022","Winter Wonderland",0,143226,FALSE,0.684,0.491,0,-7.655,1,0.0361,0.71,0,0.144,0.4,117.916,4,"rock"
291,"Daily Pop Mix","Tippa My Tongue",0,260808,FALSE,0.573,0.913,5,-6.52,0,0.0409,0.00861,0.0273,0.114,0.795,88.418,4,"rock"
292,"C'est Si Bon","La vie en rose",64,206826,FALSE,0.584,0.0789,0,-12.905,1,0.051,0.884,0.00705,0.0876,0.319,70.886,4,"jazz"
293,"Christmas Classics","All I Want For Christmas (Is My Two Front Teeth)",0,151333,FALSE,0.771,0.158,6,-10.374,0,0.0621,0.895,0,0.144,0.504,130.072,4,"jazz"
294,"rapunzel","double take",83,171743,FALSE,0.656,0.436,8,-11.141,1,0.0744,0.845,0,0.221,0.196,109.239,4,"pop"
295,"The Car","Sculptures Of Anything Goes",44,239151,FALSE,0.591,0.309,4,-11.087,0,0.0287,0.704,0.0122,0.102,0.257,71.573,4,"rock"
296,"Pop Station","That's What I Like - PARTYNEXTDOOR Remix",0,206696,FALSE,0.741,0.695,1,-5.341,1,0.0454,0.021,0,0.0922,0.861,134.032,4,"pop"
297,"I Love You.","Sweater Weather",93,240400,FALSE,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,"pop"
298,"Christmas Eve At Home","Christmas All Over Again",0,253626,FALSE,0.44,0.838,9,-6.196,1,0.0423,0.0956,0,0.473,0.619,138.908,4,"rock"
299,"Christmas Dinner","Cool Yule",0,176699,FALSE,0.568,0.505,0,-8.041,1,0.128,0.676,1.67e-05,0.516,0.692,149.439,4,"jazz"
300,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")","Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",68,332702,FALSE,0.556,0.521,6,-10.811,1,0.0321,0.632,0.000582,0.102,0.355,127.956,4,"pop"
301,"pov: you ride on santa's sleigh","Back Door Santa",0,205280,FALSE,0.736,0.722,10,-5.908,0,0.0753,0.384,7.36e-05,0.137,0.448,112.921,4,"jazz"
302,"Lounge La Nuit, Vol. 1","Love Letter - Original Mix",0,240000,FALSE,0.657,0.3,8,-13.762,1,0.0357,0.914,0.862,0.166,0.42,100.001,4,"jazz"
303,"Christmas Dinner 2022","Rudolph The Red-Nosed Reindeer",0,171773,FALSE,0.596,0.315,8,-9.175,1,0.0428,0.961,0,0.258,0.64,119.935,4,"jazz"
304,"MKTO","Classic",82,175426,FALSE,0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,4,"rock"
305,"Best Christmas Songs 2022 | For under the Mistletoe","Have Yourself A Merry Little Christmas",2,170964,FALSE,0.438,0.178,5,-9.402,1,0.0414,0.957,1.1e-06,0.316,0.344,75.25,1,"pop"
306,"Şimdi Ve Sonra","Sevgi Özleyendir",39,195186,FALSE,0.458,0.655,4,-6.856,0,0.0318,0.516,0,0.203,0.38,80.174,4,"jazz"
307,"Naa Tere Bin (From ""Ek Villain Returns"")","Naa Tere Bin (From ""Ek Villain Returns"")",64,371112,FALSE,0.603,0.453,2,-8.501,1,0.0307,0.45,0,0.092,0.384,135.028,4,"pop"
308,"Coffee Moment","Love You Anymore",0,182666,FALSE,0.693,0.257,6,-7.785,1,0.0356,0.869,0,0.11,0.603,90.014,4,"jazz"
309,"Para entrar en calor","911",2,221760,FALSE,0.798,0.857,6,-3.748,1,0.105,0.0519,4.99e-05,0.142,0.581,102.998,4,"pop"
310,"Holiday Favorites 2022","Rudolph The Red-Nosed Reindeer",0,171773,FALSE,0.596,0.315,8,-9.175,1,0.0428,0.961,0,0.258,0.64,119.935,4,"jazz"
311,"The Stranger (Legacy Edition)","Vienna",78,214240,FALSE,0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,4,"rock"
312,"pov: you hear the bells jingle","Sleigh Ride",0,175986,FALSE,0.593,0.287,1,-12.472,1,0.0469,0.764,0,0.153,0.639,77.117,4,"jazz"
313,"Call Me Irresponsible (Deluxe)","L O V E",63,170213,FALSE,0.505,0.465,0,-6.599,1,0.0566,0.461,0,0.169,0.555,141.884,4,"jazz"
314,"Chill in Brazil","Beguine dodói",0,134973,FALSE,0.728,0.333,9,-16.162,1,0.0791,0.69,0,0.0653,0.399,111.673,4,"jazz"
315,"Weihnachten Playlist","O Christmas Tree",0,147720,FALSE,0.499,0.295,5,-11.782,1,0.0287,0.794,0,0.0829,0.323,154.938,3,"rock"
316,"Weihnachtspop 2022","Rockin' Around The Christmas Tree",0,132732,FALSE,0.464,0.642,5,-3.656,1,0.032,0.0189,0,0.0957,0.828,151.592,4,"pop"
317,"Tesadüf Aşk","Tesadüf Aşk",41,233042,FALSE,0.437,0.479,6,-5.698,0,0.0326,0.841,0,0.185,0.308,141.49,4,"jazz"
318,"Summer Music Festival Hits","Boss Bitch",0,134239,FALSE,0.707,0.955,10,-4.593,0,0.222,0.127,0,0.203,0.575,125.993,4,"pop"
319,"Mellow Adult Pop","Me and Mrs. Jones",2,271786,FALSE,0.36,0.381,1,-8.666,1,0.0488,0.59,5.1e-05,0.0846,0.346,198.154,3,"jazz"
